name,salary,area_name,published_at
Программист-аналитик 1С 8,75000.0,Москва,2011-01-28T11:59:27+0300
Technical Support Analyst,37500.0,Санкт-Петербург,2011-02-14T09:58:00+0300
Инженер-программист (Oracle+Java),80000.0,Москва,2011-01-17T11:15:34+0300
Старший Java Аналитик (область Security),80000.0,Санкт-Петербург,2011-01-12T16:36:43+0300
Senior C# / .NET developer,60000.0,Томск,2011-08-29T13:32:57+0400
Senior C# / .NET developer,60000.0,Омск,2011-08-29T13:32:58+0400
Senior C# / .NET developer,60000.0,Красноярск,2011-08-29T13:32:57+0400
Сервисный инженер с личным а/м,35000.0,Москва,2011-01-31T12:54:32+0300
Программист 1С,95000.0,Москва,2011-01-21T11:30:20+0300
Программист по направлению расчет заработной платы в бюджетых организациях,45000.0,Москва,2011-03-18T14:06:24+0300
Электроник,14500.0,Ростов-на-Дону,2011-02-19T14:55:49+0300
Системный администратор,27500.0,Москва,2011-02-19T16:25:31+0300
Программист,14500.0,Ростов-на-Дону,2011-02-19T17:08:26+0300
"Team Leader (C#, MS SQL)",70000.0,Россия,2011-02-19T18:39:55+0300
Веб-дизайнер,40000.0,Москва,2011-02-19T18:43:17+0300
Технический писатель,32500.0,Москва,2011-04-05T15:52:58+0400
Тестировщик,70000.0,Москва,2011-02-19T23:52:58+0300
1C Программист (системный администратор),37500.0,Санкт-Петербург,2011-02-20T00:18:38+0300
ExtJS программист,35000.0,Самара,2011-03-15T22:55:04+0300
Software test engineer,52500.0,Санкт-Петербург,2011-05-12T17:34:40+0400
QA Engineer,50000.0,Санкт-Петербург,2011-03-21T14:10:23+0300
SEO оптимизатор,26500.0,Москва,2011-02-20T13:15:07+0300
Менеджер по продажам,22500.0,Нижний Новгород,2011-02-20T14:51:53+0300
Менеджер развития корпоративного бизнеса,32500.0,Санкт-Петербург,2011-02-20T15:19:29+0300
Инженер по VoIP,37500.0,Санкт-Петербург,2011-02-20T15:19:57+0300
Специалист технической поддержки,46500.0,Москва,2011-02-20T16:13:52+0300
Дизайнер-верстальщик,37500.0,Москва,2011-02-20T16:14:01+0300
Инженер технической поддержки,42500.0,Москва,2011-02-20T22:00:26+0300
Постановщик задач в отдел web-проектов,29000.0,Екатеринбург,2011-02-20T22:08:32+0300
Программист 1С \ системный администратор,60000.0,Москва,2011-03-01T13:38:26+0300
Разработчик .NET/C#,50000.0,Новосибирск,2011-02-21T06:15:59+0300
Менеджер по рекламе \ Интернет-маркетолог \ Менеджер интернет-проектов,50000.0,Москва,2011-02-21T08:44:30+0300
Системный администратор,22500.0,Казань,2011-03-22T10:58:38+0300
Менеджер по работе с клиентами \ аккаунт менеджер (разработка сайтов \интернет-маркетинг\ seo),50000.0,Москва,2011-03-09T15:19:37+0300
Программист,22500.0,Екатеринбург,2011-02-21T09:02:49+0300
Верстальщик,14000.0,Красноярск,2011-02-21T09:04:58+0300
Разработчик цифровых учебных пособий,14000.0,Красноярск,2011-02-21T09:07:47+0300
Руководитель проектов 1С,40000.0,Набережные Челны,2011-05-18T10:33:56+0400
Ведущий Web-Программист,62500.0,Москва,2011-02-21T09:33:46+0300
Программист 1С,30000.0,Набережные Челны,2011-05-18T10:33:56+0400
Инженер-программист,27500.0,Республика Башкортостан,2011-02-21T09:46:41+0300
Системотехник,19000.0,Ростов-на-Дону,2011-04-12T14:35:54+0400
Web-программист,55000.0,Москва,2011-02-21T09:52:31+0300
Тестировщик ПО,60000.0,Москва,2011-02-21T09:52:47+0300
Программист 1С,40000.0,Нижний Новгород,2011-02-21T10:00:56+0300
Редактор сайта,27500.0,Санкт-Петербург,2011-02-21T10:01:45+0300
Программист 1С,125000.0,Москва,2011-04-08T17:06:43+0400
Разработчик (PHP5),50000.0,Новосибирск,2011-03-23T07:37:18+0300
Менеджер по продажам,42500.0,Москва,2011-02-21T10:33:19+0300
Программист-Разработчик dotNet,30000.0,Краснодар,2011-02-21T10:40:19+0300
Эксперт технической поддержки,26400.0,Москва,2011-03-15T11:58:53+0300
Сотрудник отдела технической поддержки (HelpDesk),32500.0,Москва,2011-02-21T10:45:05+0300
Инженер-установщик,50000.0,Москва,2011-03-11T17:36:35+0300
Системный администратор,33000.0,Москва,2011-02-21T10:48:58+0300
Консультант по внедрению 1C,30500.0,Нижний Новгород,2011-02-21T10:52:36+0300
Программист-аналитик (Axapta),100000.0,Москва,2011-05-13T09:48:58+0400
Программист 1С,27500.0,Нижний Новгород,2011-03-28T11:11:25+0400
Программист- консультант (1С8),100000.0,Москва,2011-03-09T13:15:22+0300
Менеджер по работе с клиентами,20000.0,Нижний Новгород,2011-02-21T10:58:10+0300
Оператор call-центра,12000.0,Воронеж,2011-04-07T10:42:47+0400
Системный администратор,18500.0,Брянск,2011-02-21T11:11:52+0300
Software Engineer,70000.0,Москва,2011-05-23T10:36:19+0400
Контент менеджер,20000.0,Москва,2011-03-22T11:34:09+0300
Специалист по сопровождению ПП,22500.0,Красноярск,2011-02-21T11:19:34+0300
Разработчик Java,87500.0,Москва,2011-02-21T11:19:41+0300
Cистемный администратор,35000.0,Москва,2011-02-21T11:28:27+0300
Менеджер по продажам (услуги магистральной сети),30000.0,Нижний Новгород,2011-02-21T11:29:53+0300
Инженер технической поддержки,19750.0,Нижний Новгород,2011-02-21T11:31:06+0300
Системный администратор,5000.0,Санкт-Петербург,2011-02-21T11:32:21+0300
КОНТЕНТ-МЕНЕДЖЕР,21500.0,Санкт-Петербург,2011-02-21T11:33:24+0300
Специалист по технической поддержке пользователей,22500.0,Москва,2011-02-21T11:36:48+0300
Контент-менеджер сайта на 1С-Битрикс (1C-Bitrix),20000.0,Москва,2011-02-21T11:37:53+0300
Программист 1С,74800.0,Москва,2011-03-30T15:49:04+0400
Тестировщик ПО,17500.0,Санкт-Петербург,2011-03-23T17:23:10+0300
Менеджер по продажам,67500.0,Москва,2011-02-21T12:02:05+0300
Программист 1С,50000.0,Ростов-на-Дону,2011-03-22T16:11:26+0300
Системный аналитик ( проектировщик веб-систем),55000.0,Москва,2011-02-21T12:12:08+0300
Менеджер по работе с физическими лицами (г. Химки),20000.0,Химки,2011-03-01T10:49:20+0300
Консультант-бухгалтер,35000.0,Санкт-Петербург,2011-03-05T12:32:20+0300
Менеджер по продажам интернет-рекламы,125000.0,Москва,2011-02-21T12:33:22+0300
Менеджер по продажам,15000.0,Самара,2011-03-18T10:26:56+0300
Ведущий разработчик Java,39500.0,Пермь,2011-03-30T08:30:02+0400
